Year,Rank,Surname,Number
2025,1147=,Glennie,20
2025,1147=,Goodfellow,20
2025,1147=,Greenwood,20
2025,1147=,Haggarty,20
2025,1147=,Harvie,20
2025,1147=,Howarth,20
2025,1147=,Howell,20
2025,1147=,Kinnaird,20
2025,1147=,Leighton,20
2025,1147=,Lochrie,20
2025,1147=,Lowrie,20
2025,1147=,Mcateer,20
2025,1147=,Mccubbin,20
2025,1147=,Mcewen,20
2025,1147=,Mcmurray,20
2025,1147=,Mill,20
2025,1147=,Moodie,20
2025,1147=,Nicholls,20
2025,1147=,Pattison,20
2025,1147=,Paxton,20
2025,1147=,Reeves,20
2025,1147=,Sanders,20
2025,1147=,Seaton,20
2025,1147=,Sheikh,20
2025,1147=,Steedman,20
2025,1147=,Stein,20
2025,1147=,Storey,20
2025,1147=,Storrie,20
2025,1147=,Vaughan,20
2025,1147=,Wemyss,20
2025,1147=,Winton,20
2025,1147=,Woodward,20
2025,1203=,Abbott,19
2025,1203=,Arnold,19
2025,1203=,Asif,19
2025,1203=,Barry,19
2025,1203=,Brock,19
2025,1203=,Burrell,19
2025,1203=,Coates,19
2025,1203=,Coats,19
2025,1203=,Couper,19
2025,1203=,Dunne,19
2025,1203=,Edward,19
2025,1203=,Emslie,19
2025,1203=,Fairlie,19
2025,1203=,Faulkner,19
2025,1203=,Godfrey,19
2025,1203=,Gracie,19
2025,1203=,Hannigan,19
2025,1203=,Hosie,19
2025,1203=,John,19
2025,1203=,Kelman,19
2025,1203=,Larkin,19
2025,1203=,Liddle,19
2025,1203=,Logie,19
2025,1203=,Macphail,19
2025,1203=,Mcandrew,19
2025,1203=,Mcardle,19
2025,1203=,Mccaig,19
2025,1203=,Mccallion,19
2025,1203=,Mccolgan,19
2025,1203=,Mcdermid,19
2025,1203=,Mciver,19
2025,1203=,Mcminn,19
2025,1203=,Mcsorley,19
2025,1203=,Mustafa,19
2025,1203=,O'connell,19
2025,1203=,Patel,19
2025,1203=,Prior,19
2025,1203=,Proudfoot,19
2025,1203=,Rowe,19
2025,1203=,Sheppard,19
2025,1203=,Slaven,19
2025,1203=,Stephens,19
2025,1203=,Trotter,19
2025,1203=,Warnock,19
2025,1203=,Youngson,19
2025,1248=,Baldwin,18
2025,1248=,Bentley,18
2025,1248=,Bernard,18
2025,1248=,Bonnar,18
2025,1248=,Bowden,18
2025,1248=,Bradshaw,18
2025,1248=,Butt,18
2025,1248=,Cavanagh,18
2025,1248=,Church,18
2025,1248=,Cranston,18
2025,1248=,Curley,18
2025,1248=,Dalgarno,18
2025,1248=,Doak,18
2025,1248=,Donaghy,18
2025,1248=,Ewart,18
2025,1248=,Ferns,18
2025,1248=,Ferry,18
2025,1248=,Garrett,18
2025,1248=,Glancy,18
2025,1248=,Gormley,18
2025,1248=,Gough,18
2025,1248=,Guy,18
2025,1248=,Haldane,18
2025,1248=,Hurst,18
2025,1248=,Joseph,18
2025,1248=,Keane,18
2025,1248=,Kerrigan,18
2025,1248=,Luke,18
2025,1248=,Lyle,18
2025,1248=,Maclellan,18
2025,1248=,Mcavoy,18
2025,1248=,Mccarroll,18
2025,1248=,Mcdaid,18
2025,1248=,Mcginty,18
2025,1248=,Mcrobert,18
2025,1248=,Nash,18
2025,1248=,Rana,18
2025,1248=,Read,18
2025,1248=,Riddoch,18
2025,1248=,Ridley,18
2025,1248=,Saleem,18
2025,1248=,Sarwar,18
2025,1248=,Sherry,18
2025,1248=,Siddique,18
2025,1248=,Skelton,18
2025,1248=,Tahir,18
2025,1248=,Tariq,18
2025,1248=,Thorpe,18
2025,1248=,Toner,18
2025,1248=,Waite,18
2025,1248=,Walters,18
2025,1299=,Akram,17
2025,1299=,Barber,17
2025,1299=,Beckett,17
2025,1299=,Begum,17
2025,1299=,Birch,17
2025,1299=,Brannigan,17
2025,1299=,Brookes,17
2025,1299=,Burnside,17
2025,1299=,Colville,17
2025,1299=,Combe,17
2025,1299=,Conner,17
2025,1299=,Deas,17
2025,1299=,Dowling,17
2025,1299=,Dryden,17
2025,1299=,Duddy,17
2025,1299=,Easson,17
2025,1299=,Elrick,17
2025,1299=,England,17
2025,1299=,Farooq,17
2025,1299=,Firth,17
2025,1299=,Garner,17
2025,1299=,Gibbons,17
2025,1299=,Haggerty,17
2025,1299=,Haining,17
2025,1299=,Hale,17
2025,1299=,Ho,17
2025,1299=,Honeyman,17
2025,1299=,Hooper,17
2025,1299=,Houghton,17
2025,1299=,Hoy,17
2025,1299=,Kavanagh,17
2025,1299=,Kent,17
2025,1299=,Kirby,17
2025,1299=,Lennie,17
2025,1299=,Lithgow,17
2025,1299=,Massey,17
2025,1299=,Mchardy,17
2025,1299=,Mckinney,17
2025,1299=,Mcniven,17
2025,1299=,Mcquillan,17
2025,1299=,Moyes,17
2025,1299=,Ogg,17
2025,1299=,Parkinson,17
2025,1299=,Pugh,17
2025,1299=,Pullar,17
2025,1299=,Rosie,17
2025,1299=,Sawers,17
2025,1299=,Sharif,17
2025,1299=,Sime,17
2025,1299=,Stanley,17
2025,1299=,Syme,17
2025,1299=,Talbot,17
2025,1299=,Temple,17
2025,1299=,Toal,17
2025,1299=,Travers,17
2025,1299=,Tully,17
2025,1299=,Vickers,17
2025,1299=,Vincent,17
2025,1299=,Wheatley,17
2025,1299=,Withers,17
2025,1299=,Woodcock,17
2025,1299=,Younger,17
2025,1361=,Anwar,16
2025,1361=,Bannerman,16
2025,1361=,Batchelor,16
2025,1361=,Bone,16
2025,1361=,Bright,16
2025,1361=,Budge,16
2025,1361=,Cain,16
2025,1361=,Cassells,16
2025,1361=,Chandler,16
2025,1361=,Cheung,16
2025,1361=,Collier,16
2025,1361=,Comrie,16
2025,1361=,Courtney,16
2025,1361=,Cowe,16
2025,1361=,Coyne,16
2025,1361=,Cree,16
2025,1361=,Dickinson,16
2025,1361=,Dougall,16
2025,1361=,Fenwick,16
2025,1361=,Ferris,16
2025,1361=,Flockhart,16
2025,1361=,Forster,16
2025,1361=,Fullarton,16
2025,1361=,Granger,16
2025,1361=,Greene,16
2025,1361=,Halley,16
2025,1361=,Hamza,16
2025,1361=,Hanley,16
2025,1361=,Hargreaves,16
2025,1361=,Hogan,16
2025,1361=,Howieson,16
2025,1361=,Irwin,16
2025,1361=,Keating,16
2025,1361=,Keddie,16
2025,1361=,Kinsella,16
2025,1361=,Latto,16
2025,1361=,Leadbetter,16
2025,1361=,Legge,16
2025,1361=,Lovie,16
2025,1361=,Macnab,16
2025,1361=,Mactaggart,16
2025,1361=,Mcconville,16
2025,1361=,Mccrae,16
2025,1361=,Mccrorie,16
2025,1361=,Mcdonnell,16
2025,1361=,Mcgibbon,16
2025,1361=,Mcmullen,16
2025,1361=,Mcpake,16
2025,1361=,Mcrobbie,16
2025,1361=,Moncrieff,16
2025,1361=,Mulgrew,16
2025,1361=,Mulligan,16
2025,1361=,Mullin,16
2025,1361=,Pate,16
2025,1361=,Peterson,16
2025,1361=,Raza,16
2025,1361=,Rogerson,16
2025,1361=,Saeed,16
2025,1361=,Samuel,16
2025,1361=,Shahid,16
2025,1361=,Smeaton,16
2025,1361=,Tracey,16
2025,1361=,Vance,16
2025,1361=,Waterston,16
2025,1361=,Watkins,16
2025,1361=,Whitton,16
2025,1427=,Amin,15
2025,1427=,Bateman,15
2025,1427=,Blain,15
2025,1427=,Boag,15
2025,1427=,Boland,15
2025,1427=,Brough,15
2025,1427=,Cahill,15
2025,1427=,Cardno,15
2025,1427=,Cleary,15
2025,1427=,Conn,15
2025,1427=,Din,15
2025,1427=,Donachie,15
2025,1427=,Donohoe,15
2025,1427=,Doolan,15
2025,1427=,Downs,15
2025,1427=,Drennan,15
2025,1427=,Ewan,15
2025,1427=,Fergus,15
2025,1427=,Gold,15
2025,1427=,Haxton,15
2025,1427=,Hicks,15
2025,1427=,Hiddleston,15
2025,1427=,Hillhouse,15
2025,1427=,Hogarth,15
2025,1427=,Horton,15
2025,1427=,Jenkinson,15
2025,1427=,Keen,15
2025,1427=,Macvicar,15
2025,1427=,Mcbeath,15
2025,1427=,Mccombie,15
2025,1427=,Mccrone,15
2025,1427=,Mcgarvey,15
2025,1427=,Mckirdy,15
2025,1427=,Mcmath,15
2025,1427=,Mcnamee,15
2025,1427=,Mcwhinnie,15
2025,1427=,Mullan,15
2025,1427=,Nairn,15
2025,1427=,Patton,15
2025,1427=,Pope,15
2025,1427=,Potts,15
2025,1427=,Purvis,15
2025,1427=,Qureshi,15
2025,1427=,Rehman,15
2025,1427=,Rigby,15
2025,1427=,Rowlands,15
2025,1427=,Shankland,15
2025,1427=,Shiels,15
2025,1427=,Sibbald,15
2025,1427=,Stanton,15
2025,1427=,Steen,15
2025,1427=,Strain,15
2025,1427=,Stronach,15
2025,1427=,Vass,15
2025,1427=,Wardrope,15
2025,1427=,Whitehead,15
2025,1427=,Yeats,15
2025,1484=,Abercrombie,14
2025,1484=,Arbuckle,14
2025,1484=,Armit,14
2025,1484=,Aziz,14
2025,1484=,Bowes,14
2025,1484=,Burr,14
2025,1484=,Callan,14
2025,1484=,Carlyle,14
2025,1484=,Chamberlain,14
2025,1484=,Charlton,14
2025,1484=,Chaudhry,14
2025,1484=,Cherry,14
2025,1484=,Colvin,14
2025,1484=,Convery,14
2025,1484=,Corr,14
2025,1484=,Costello,14
2025,1484=,Coventry,14
2025,1484=,Crosbie,14
2025,1484=,Daniels,14
2025,1484=,Darroch,14
2025,1484=,Dornan,14
2025,1484=,Drew,14
2025,1484=,Eddie,14
2025,1484=,Edmond,14
2025,1484=,Esson,14
2025,1484=,Gamble,14
2025,1484=,Gilmartin,14
2025,1484=,Gowans,14
2025,1484=,Grier,14
2025,1484=,Groves,14
2025,1484=,Hackett,14
2025,1484=,Haggart,14
2025,1484=,Haigh,14
2025,1484=,Hair,14
2025,1484=,Hampton,14
2025,1484=,Haston,14
2025,1484=,Haynes,14
2025,1484=,Herron,14
2025,1484=,Kinloch,14
2025,1484=,Lacey,14
2025,1484=,Latimer,14
2025,1484=,Lawlor,14
2025,1484=,Leach,14
2025,1484=,Leggat,14
2025,1484=,Liu,14
2025,1484=,Llewellyn,14
2025,1484=,Longmuir,14
2025,1484=,Lord,14
2025,1484=,Lothian,14
2025,1484=,Louden,14
2025,1484=,Macqueen,14
2025,1484=,Mcbeth,14
2025,1484=,Mccreath,14
2025,1484=,Mcelhinney,14
2025,1484=,Mcmenamin,14
2025,1484=,Mcphillips,14
2025,1484=,Mcroberts,14
2025,1484=,Moody,14
2025,1484=,Murison,14
2025,1484=,Noor,14
2025,1484=,Notman,14
2025,1484=,Oliphant,14
2025,1484=,Omar,14
2025,1484=,Paisley,14
2025,1484=,Parr,14
2025,1484=,Peat,14
2025,1484=,Pickering,14
2025,1484=,Randall,14
2025,1484=,Rodden,14
2025,1484=,Roger,14
2025,1484=,Rollo,14
2025,1484=,Rough,14
2025,1484=,Spiers,14
2025,1484=,Suttie,14
2025,1484=,Tang,14
2025,1484=,Thow,14
2025,1484=,Toye,14
2025,1484=,Warner,14
2025,1484=,Wightman,14
2025,1484=,Zahid,14
2025,1564=,Alam,13
2025,1564=,Allardyce,13
2025,1564=,Alston,13
2025,1564=,Bashir,13
2025,1564=,Bett,13
2025,1564=,Blakey,13
2025,1564=,Bonar,13
2025,1564=,Buist,13
2025,1564=,Bulloch,13
2025,1564=,Butcher,13
2025,1564=,Callander,13
2025,1564=,Calvert,13
2025,1564=,Cambridge,13
2025,1564=,Carpenter,13
2025,1564=,Carstairs,13
2025,1564=,Cathcart,13
2025,1564=,Clegg,13
2025,1564=,Conlon,13
2025,1564=,Corcoran,13
2025,1564=,Craik,13
2025,1564=,Crane,13
2025,1564=,Craven,13
2025,1564=,Crozier,13
2025,1564=,Dalrymple,13
2025,1564=,Dennis,13
2025,1564=,Dent,13
2025,1564=,Donegan,13
2025,1564=,Dudgeon,13
2025,1564=,Duffin,13
2025,1564=,Dykes,13
2025,1564=,Eastwood,13
2025,1564=,Faisal,13
2025,1564=,Fell,13
2025,1564=,Field,13
2025,1564=,Forde,13
2025,1564=,Galt,13
2025,1564=,Gaughan,13
2025,1564=,Good,13
2025,1564=,Goodman,13
2025,1564=,Gould,13
2025,1564=,Grimes,13
2025,1564=,Grubb,13
2025,1564=,Guild,13
2025,1564=,Haig,13
2025,1564=,Halpin,13
2025,1564=,Haq,13
2025,1564=,Healey,13
2025,1564=,Heaney,13
2025,1564=,Herbert,13
2025,1564=,Heywood,13
2025,1564=,Hickman,13
2025,1564=,Hobbs,13
2025,1564=,Humphreys,13
2025,1564=,Jappy,13
2025,1564=,Kearns,13
2025,1564=,Keay,13
2025,1564=,Kelso,13
2025,1564=,Kettles,13
2025,1564=,Kiernan,13
2025,1564=,Laverty,13
2025,1564=,Loughlin,13
2025,1564=,Maher,13
2025,1564=,Malcolmson,13
2025,1564=,Maloney,13
2025,1564=,Mcalister,13
2025,1564=,Mccleary,13
2025,1564=,Mccolm,13
2025,1564=,Mcdiarmid,13
2025,1564=,Mcgeachy,13
2025,1564=,Mcgivern,13
2025,1564=,Mcgonigle,13
2025,1564=,Mchale,13
2025,1564=,Mckinley,13
2025,1564=,Mcmurdo,13
2025,1564=,Mcveigh,13
2025,1564=,Milliken,13
2025,1564=,Moon,13
2025,1564=,Musa,13
2025,1564=,Myers,13
2025,1564=,Noon,13
2025,1564=,O'hagan,13
2025,1564=,Pacitti,13
2025,1564=,Patience,13
2025,1564=,Platt,13
2025,1564=,Pollard,13
2025,1564=,Robbins,13
2025,1564=,Rowley,13
2025,1564=,Scobbie,13
2025,1564=,Simmonds,13
2025,1564=,Sturgeon,13
2025,1564=,Tasker,13
2025,1564=,Totten,13
2025,1564=,Umar,13
2025,1564=,Waterson,13
2025,1564=,Webber,13
2025,1564=,Whiteside,13
2025,1564=,Whittaker,13
2025,1564=,Wild,13
2025,1564=,Willox,13
2025,1564=,Zaman,13
2025,1564=,Zhang,13
2025,1665=,Ainslie,12
2025,1665=,Ashton,12
2025,1665=,Atkins,12
2025,1665=,Bainbridge,12
2025,1665=,Bannister,12
2025,1665=,Benzie,12
2025,1665=,Bevan,12
2025,1665=,Bibi,12
2025,1665=,Blues,12
2025,1665=,Bowen,12
2025,1665=,Boyes,12
2025,1665=,Bray,12
2025,1665=,Brewster,12
2025,1665=,Broadfoot,12
2025,1665=,Brownlee,12
2025,1665=,Bull,12
2025,1665=,Bunyan,12
2025,1665=,Cant,12
2025,1665=,Carnie,12
2025,1665=,Carty,12
2025,1665=,Catto,12
2025,1665=,Caven,12
2025,1665=,Colligan,12
2025,1665=,Coltart,12
2025,1665=,Condie,12
2025,1665=,Conlin,12
2025,1665=,Covaciu,12
2025,1665=,Cramb,12
2025,1665=,Crawley,12
2025,1665=,Crockett,12
2025,1665=,Croft,12
2025,1665=,Crook,12
2025,1665=,Crossley,12
2025,1665=,Dobbin,12
2025,1665=,Dodd,12
2025,1665=,Dorrian,12
2025,1665=,Dowie,12
2025,1665=,Eccles,12
2025,1665=,Finnegan,12
2025,1665=,Florence,12
2025,1665=,Fortune,12
2025,1665=,Gourley,12
2025,1665=,Govan,12
2025,1665=,Grady,12
2025,1665=,Greenshields,12
2025,1665=,Hadley,12
2025,1665=,Hainey,12
2025,1665=,Halkett,12
2025,1665=,Hanna,12
2025,1665=,Hawthorne,12
2025,1665=,Hedley,12
2025,1665=,Hetherington,12
2025,1665=,Hirst,12
2025,1665=,Hodgkinson,12
2025,1665=,Hoggan,12
2025,1665=,Hossack,12
2025,1665=,Howden,12
2025,1665=,Hynes,12
2025,1665=,Islam,12
2025,1665=,Keegan,12
2025,1665=,Lancaster,12
2025,1665=,Langan,12
2025,1665=,Latif,12
2025,1665=,Ledingham,12
2025,1665=,Letham,12
2025,1665=,Linklater,12
2025,1665=,Lochhead,12
2025,1665=,Locke,12
2025,1665=,Mabon,12
2025,1665=,Macfadyen,12
2025,1665=,Macsween,12
2025,1665=,Malloy,12
2025,1665=,Manderson,12
2025,1665=,Mathew,12
2025,1665=,Mccauley,12
2025,1665=,Mccaw,12
2025,1665=,Mcglinchey,12
2025,1665=,Mcglone,12
2025,1665=,Mcgougan,12
2025,1665=,Mcharg,12
2025,1665=,Mchattie,12
2025,1665=,Mcloughlin,12
2025,1665=,Mcritchie,12
2025,1665=,Mcskimming,12
2025,1665=,Methven,12
2025,1665=,Michael,12
2025,1665=,Miles,12
2025,1665=,Milner,12
2025,1665=,Muhammad,12
2025,1665=,Murchie,12
2025,1665=,Needham,12
2025,1665=,Neish,12
2025,1665=,North,12
2025,1665=,O'kane,12
2025,1665=,O'malley,12
2025,1665=,Ord,12
2025,1665=,Percy,12
2025,1665=,Pilkington,12
2025,1665=,Pirrie,12
2025,1665=,Polson,12
2025,1665=,Rafiq,12
2025,1665=,Raine,12
2025,1665=,Ratcliffe,12
2025,1665=,Roe,12
2025,1665=,Ronaldson,12
2025,1665=,Rowland,12
2025,1665=,Rush,12
2025,1665=,Scotland,12
2025,1665=,Scoular,12
2025,1665=,Skilling,12
2025,1665=,Stafford,12
2025,1665=,Stout,12
2025,1665=,Street,12
2025,1665=,Sutcliffe,12
2025,1665=,Sutton,12
2025,1665=,Tobin,12
2025,1665=,Tolmie,12
2025,1665=,Trainer,12
2025,1665=,Troup,12
2025,1665=,Underwood,12
2025,1665=,Wall,12
2025,1665=,Wallis,12
2025,1665=,Wynne,12
2025,1788=,Abbas,11
2025,1788=,Abraham,11
2025,1788=,Aiken,11
2025,1788=,Anthony,11
2025,1788=,Appleby,11
2025,1788=,Ashraf,11
2025,1788=,Atkin,11
2025,1788=,Baig,11
2025,1788=,Baines,11
2025,1788=,Bayne,11
2025,1788=,Blackburn,11
2025,1788=,Blaikie,11
2025,1788=,Bland,11
2025,1788=,Boswell,11
2025,1788=,Boyne,11
2025,1788=,Brawley,11
2025,1788=,Brewer,11
2025,1788=,Britton,11
2025,1788=,Browning,11
2025,1788=,Canavan,11
2025,1788=,Caulfield,11
2025,1788=,Cleghorn,11
2025,1788=,Clement,11
2025,1788=,Clinton,11
2025,1788=,Close,11
2025,1788=,Clyne,11
2025,1788=,Cobb,11
2025,1788=,Cochran,11
2025,1788=,Coles,11
2025,1788=,Cornwall,11
2025,1788=,Corrie,11
2025,1788=,Cousins,11
2025,1788=,Covaci,11
2025,1788=,Crabb,11
2025,1788=,Croll,11
2025,1788=,Cromar,11
2025,1788=,Crowther,11
2025,1788=,Denham,11
2025,1788=,Dorward,11
2025,1788=,Duggan,11
2025,1788=,Duke,11
2025,1788=,Fairweather,11
2025,1788=,Fernie,11
2025,1788=,Franklin,11
2025,1788=,Garland,11
2025,1788=,Gay,11
2025,1788=,Giles,11
2025,1788=,Gillie,11
2025,1788=,Gorrie,11
2025,1788=,Goudie,11
2025,1788=,Grassick,11
2025,1788=,Greenaway,11
2025,1788=,Greenhill,11
2025,1788=,Haley,11
2025,1788=,Hand,11
2025,1788=,Hasan,11
2025,1788=,Hatton,11
2025,1788=,Hayward,11
2025,1788=,Heenan,11
2025,1788=,Hendren,11
2025,1788=,Herriot,11
2025,1788=,Hills,11
2025,1788=,Hoey,11
2025,1788=,Hollywood,11
2025,1788=,Hopkinson,11
2025,1788=,Howitt,11
2025,1788=,Hurley,11
2025,1788=,Imran,11
2025,1788=,Joy,11
2025,1788=,Kaye,11
2025,1788=,Kirkham,11
2025,1788=,Leung,11
2025,1788=,Lobban,11
2025,1788=,Lockwood,11
2025,1788=,Lonie,11
2025,1788=,Lundie,11
2025,1788=,Lusk,11
2025,1788=,Maclaren,11
2025,1788=,Manning,11
2025,1788=,Marsden,11
2025,1788=,Masterton,11
2025,1788=,Mcaleer,11
2025,1788=,Mcaleese,11
2025,1788=,Mcalinden,11
2025,1788=,Mccrory,11
2025,1788=,Mccrossan,11
2025,1788=,Mccullagh,11
2025,1788=,Mcfall,11
2025,1788=,Mcgarva,11
2025,1788=,Mcgarvie,11
2025,1788=,Mcglashan,11
2025,1788=,Mcguckin,11
2025,1788=,Mclarty,11
2025,1788=,Mclintock,11
2025,1788=,Mcmonagle,11
2025,1788=,Mcqueenie,11
2025,1788=,Meiklejohn,11
2025,1788=,Merrilees,11
2025,1788=,Milroy,11
2025,1788=,Mirza,11
2025,1788=,Morley,11
2025,1788=,Mowatt,11
2025,1788=,Naeem,11
2025,1788=,Neary,11
2025,1788=,Nicholl,11
2025,1788=,Nightingale,11
2025,1788=,Norton,11
2025,1788=,O'shea,11
2025,1788=,Parkin,11
2025,1788=,Pattie,11
2025,1788=,Peddie,11
2025,1788=,Pennington,11
2025,1788=,Pyper,11
2025,1788=,Rai,11
2025,1788=,Rea,11
2025,1788=,Riach,11
2025,1788=,Robison,11
2025,1788=,Rostas,11
2025,1788=,Ruddy,11
2025,1788=,Searle,11
2025,1788=,Seath,11
2025,1788=,Sims,11
2025,1788=,Singer,11
2025,1788=,Snedden,11
2025,1788=,Spowart,11
2025,1788=,Stead,11
2025,1788=,Still,11
2025,1788=,Stirton,11
2025,1788=,Tennent,11
2025,1788=,Third,11
2025,1788=,Thoms,11
2025,1788=,Topping,11
2025,1788=,Uddin,11
2025,1788=,Vallance,11
2025,1788=,Warburton,11
2025,1788=,Warden,11
2025,1788=,Weaver,11
2025,1788=,Weston,11
2025,1788=,Whitfield,11
2025,1788=,Wilkins,11
2025,1788=,Winning,11
2025,1929=,Adeyemi,10
2025,1929=,Affleck,10
2025,1929=,Asad,10
2025,1929=,Ballingall,10
2025,1929=,Balmer,10
2025,1929=,Bannatyne,10
2025,1929=,Bean,10
2025,1929=,Bedford,10
2025,1929=,Beedie,10
2025,1929=,Benton,10
2025,1929=,Betts,10
2025,1929=,Blacklock,10
2025,1929=,Blades,10
2025,1929=,Blaney,10
2025,1929=,Boylan,10
2025,1929=,Braidwood,10
2025,1929=,Brash,10
2025,1929=,Breslin,10
2025,1929=,Brotherston,10
2025,1929=,Buckland,10
2025,1929=,Buick,10
2025,1929=,Busby,10
2025,1929=,Carlton,10
2025,1929=,Carrie,10
2025,1929=,Cassie,10
2025,1929=,Clancy,10
2025,1929=,Clare,10
2025,1929=,Cohen,10
2025,1929=,Cordiner,10
2025,1929=,Cowley,10
2025,1929=,Craib,10
2025,1929=,Creighton,10
2025,1929=,Curry,10
2025,1929=,Dalgliesh,10
2025,1929=,Davey,10
2025,1929=,David,10
2025,1929=,Deegan,10
2025,1929=,Degnan,10
2025,1929=,Don,10
2025,1929=,Doughty,10
2025,1929=,Doull,10
2025,1929=,Dowds,10
2025,1929=,Downes,10
2025,1929=,Drake,10
2025,1929=,Emmanuel,10
2025,1929=,Findlater,10
2025,1929=,Frost,10
2025,1929=,Gabriel,10
2025,1929=,Gale,10
2025,1929=,Gartshore,10
2025,1929=,Gilliland,10
2025,1929=,Girdwood,10
2025,1929=,Greenhorn,10
2025,1929=,Hannan,10
2025,1929=,Hardman,10
2025,1929=,Hare,10
2025,1929=,Harker,10
2025,1929=,Haughey,10
2025,1929=,Heeps,10
2025,1929=,Hewitson,10
2025,1929=,Higginson,10
2025,1929=,Hindley,10
2025,1929=,Humphrey,10
2025,1929=,Hussein,10
2025,1929=,Hyland,10
2025,1929=,Javaid,10
2025,1929=,Kilday,10
2025,1929=,Lake,10
2025,1929=,Langlands,10
2025,1929=,Lapsley,10
2025,1929=,Larmour,10
2025,1929=,Lau,10
2025,1929=,Lawton,10
2025,1929=,Lightbody,10
2025,1929=,Linn,10
2025,1929=,Macnaughton,10
2025,1929=,Mahoney,10
2025,1929=,Masterson,10
2025,1929=,Mathie,10
2025,1929=,Mcartney,10
2025,1929=,Mccaffrey,10
2025,1929=,Mccole,10
2025,1929=,Mccool,10
2025,1929=,Mcdonough,10
2025,1929=,Mcevoy,10
2025,1929=,Mcfadzean,10
2025,1929=,Mcginnes,10
2025,1929=,Mcgraw,10
2025,1929=,Mckain,10
2025,1929=,Mcnicoll,10
2025,1929=,Miah,10
2025,1929=,Middlemiss,10
2025,1929=,Mohammad,10
2025,1929=,Moreland,10
2025,1929=,Mudie,10
2025,1929=,Nesbitt,10
2025,1929=,Neville,10
2025,1929=,Newall,10
2025,1929=,O'hanlon,10
2025,1929=,Ormiston,10
2025,1929=,Paris,10
2025,1929=,Peace,10
2025,1929=,Percival,10
2025,1929=,Pike,10
2025,1929=,Pitt,10
2025,1929=,Pow,10
2025,1929=,Priest,10
2025,1929=,Purdon,10
2025,1929=,Pye,10
2025,1929=,Raeside,10
2025,1929=,Rainey,10
2025,1929=,Rasool,10
2025,1929=,Richard,10
2025,1929=,Roxburgh,10
2025,1929=,Runciman,10
2025,1929=,Salter,10
2025,1929=,Sandilands,10
2025,1929=,Sayers,10
2025,1929=,Scrimgeour,10
2025,1929=,Service,10
2025,1929=,Sewell,10
2025,1929=,Shahzad,10
2025,1929=,Shedden,10
2025,1929=,Sheehan,10
2025,1929=,Sherman,10
2025,1929=,Sherwood,10
2025,1929=,Singleton,10
2025,1929=,Slavin,10
2025,1929=,Stables,10
2025,1929=,Stirrat,10
2025,1929=,Strathearn,10
2025,1929=,Terry,10
2025,1929=,Thorne,10
2025,1929=,Tod,10
2025,1929=,Tsang,10
2025,1929=,Waldron,10
2025,1929=,Walmsley,10
2025,1929=,Wang,10
2025,1929=,Wardle,10
2025,1929=,Wark,10
2025,1929=,Watterson,10
2025,1929=,Worrall,10
2025,1929=,Yu,10
